TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.499.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.10.230.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.90.570.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.30.1390.20	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.30.300.130	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.20.80.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.30.300.20	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.30.170.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.10.10.430	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
2.60.40.200	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
2.30.18.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
1.10.150.510	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.30.1360.10	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.30.70.890	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
3.40.1280.30	-	0.999999999967602	-3.23980211012825e-11	3	0	0	366	8395
